NAMESPACE                      NAME                                                              READY   STATUS             RESTARTS          AGE    IP                NODE          NOMINATED NODE   READINESS GATES
kube-system                    coredns-7c65d6cfc9-cq5tx                                          1/1     Running            1 (80d ago)       150d   10.244.1.120      csco-k8s-02   <none>           <none>
kube-system                    coredns-7c65d6cfc9-w4ljm                                          1/1     Running            2 (80d ago)       271d   10.244.0.31       csco-k8s-01   <none>           <none>
kube-system                    etcd-csco-k8s-01                                                  1/1     Running            27 (47d ago)      420d   192.168.160.111   csco-k8s-01   <none>           <none>
kube-system                    etcd-fake                                                         1/1     Running            6 (80d ago)       411d   192.168.160.111   csco-k8s-01   <none>           <none>
kube-system                    hubble-enterprise-6wglm                                           1/1     Running            1 (80d ago)       135d   192.168.160.113   csco-k8s-03   <none>           <none>
kube-system                    hubble-enterprise-j5xp7                                           1/1     Running            4 (53d ago)       135d   192.168.160.114   csco-k8s-04   <none>           <none>
kube-system                    hubble-enterprise-pt4v2                                           1/1     Running            1 (80d ago)       135d   192.168.160.111   csco-k8s-01   <none>           <none>
kube-system                    hubble-enterprise-qll88                                           1/1     Running            1 (80d ago)       135d   192.168.160.112   csco-k8s-02   <none>           <none>
kube-system                    hubble-relay-5c5b4bf655-vmphk                                     1/1     Running            4 (53d ago)       135d   10.244.3.57       csco-k8s-04   <none>           <none>
kube-system                    hubble-timescape-lite-0                                           2/2     Running            604 (6d18h ago)   135d   10.244.3.79       csco-k8s-04   <none>           <none>
kube-system                    hubble-ui-d8659f8b-22srn                                          2/2     Running            523 (6d18h ago)   135d   10.244.3.133      csco-k8s-04   <none>           <none>
kube-system                    kube-apiserver-csco-k8s-01                                        1/1     Running            24 (47d ago)      420d   192.168.160.111   csco-k8s-01   <none>           <none>
kube-system                    kube-controller-manager-csco-k8s-01                               1/1     Running            61 (47d ago)      420d   192.168.160.111   csco-k8s-01   <none>           <none>
kube-system                    kube-proxy-dz9dk                                                  1/1     Running            7 (80d ago)       420d   192.168.160.111   csco-k8s-01   <none>           <none>
